Category,Function / Pattern,Type,Use Case,Example Formula
Statistical,CONFIDENCE.NORM / CONFIDENCE.T,Measure,"Margin of error for a population mean confidence interval, using the normal or Student's t distribution","Margin of Error = CONFIDENCE.NORM(0.05, StdDev[Value], SampleSize[Value])"
Statistical,POISSON.DIST,Measure,"Poisson distribution probability, used for modeling rare/random event counts (e.g. call-center arrivals, defect rates)","Probability = POISSON.DIST(Events[Count], Mean[Value], FALSE)"
Statistical,SKEW / SKEWP,Measure,"Skewness of a sample/population distribution, describing asymmetry of the data around the mean",Sales Skew = SKEW(Sales[SalesAmount])
Table,DATATABLE,Table,"Legacy inline table constructor with explicit column names and types, mostly superseded by the { } table constructor syntax","MyTable = DATATABLE(""Name"",STRING,""Value"",INTEGER,{{""A"",1},{""B"",2}})"
Table,ROLLUP / ROLLUPGROUP / ROLLUPADDISSUBTOTAL / ROLLUPISSUBTOTAL,Table,"Used inside SUMMARIZE to add subtotal/grand-total rows for grouping columns, and to flag which result rows are subtotals","SUMMARIZE(Sales, ROLLUP(Products[Category], Products[Subcategory]), ""Total"", SUM(Sales[SalesAmount]))"
Table,SAMPLE,Table,"Return a sample of N rows from a table (evenly spaced or random), useful for previewing large datasets without scanning everything","Sample Rows = SAMPLE(100, Sales, Sales[OrderDate])"
Information,ERROR,Measure,"Raise a custom error with a specified message, used for explicit validation failures inside a measure","Validated Sales = IF([Total Sales]<0, ERROR(""Sales cannot be negative""), [Total Sales])"
Financial,RATE / NPER,Measure,"Interest rate per period / number of payment periods for a loan or investment, solved from the other loan variables","Loan Rate = RATE(Term[Months], -Payment[Value], Loan[Principal])"
Financial,IPMT / PPMT,Measure,Interest portion / principal portion of a specific loan payment within an amortization schedule,"Interest Portion = IPMT(Rate[Value]/12, Period[Number], Term[Months], -Loan[Principal])"
Financial,SLN / DDB,Measure,Straight-line / double-declining-balance depreciation of an asset for a given period,"Annual Depreciation = SLN(Asset[Cost], Asset[Salvage], Asset[LifeYears])"
Financial,ACCRINT / ACCRINTM,Measure,"Accrued interest for a security that pays periodic interest, or one that pays interest only at maturity","Accrued Interest = ACCRINT(Bond[Issue], Bond[FirstInterest], Bond[Settlement], Bond[Rate], Bond[Par], 2)"
Financial,AMORDEGRC / AMORLINC,Measure,Depreciation for each accounting period using the French accounting system (degressive/linear),"Period Depreciation = AMORLINC(Asset[Cost], Asset[PurchaseDate], Asset[FirstPeriodEnd], Asset[Salvage], Period[Number], Asset[Rate])"
Financial,COUPDAYBS / COUPDAYS / COUPDAYSNC,Measure,Days from the start of a coupon period to settlement / days in the coupon period / days from settlement to next coupon,"Days in Period = COUPDAYS(Bond[Settlement], Bond[Maturity], 2)"
Financial,COUPNCD / COUPPCD,Measure,Next / previous coupon date relative to the settlement date of a security,"Next Coupon = COUPNCD(Bond[Settlement], Bond[Maturity], 2)"
Financial,COUPNUM,Measure,Number of coupons payable between the settlement date and maturity date of a security,"Coupon Count = COUPNUM(Bond[Settlement], Bond[Maturity], 2)"
Financial,CUMIPMT / CUMPRINC,Measure,Cumulative interest / cumulative principal paid on a loan between a start and end period,"Total Interest Paid = CUMIPMT(Rate[Value]/12, Term[Months], Loan[Principal], 1, 12, 0)"
Financial,DB / VDB,Measure,Fixed-declining-balance / variable-declining-balance depreciation of an asset for a period,"Depreciation Y1 = DB(Asset[Cost], Asset[Salvage], Asset[LifeYears], 1)"
Financial,DISC,Measure,"Discount rate for a security, given price and redemption value","Bond Discount Rate = DISC(Bond[Settlement], Bond[Maturity], Bond[Price], Bond[Redemption])"
Financial,DOLLARDE / DOLLARFR,Measure,"Convert a dollar price expressed as a fraction into decimal form, and back","Decimal Price = DOLLARDE(Bond[FractionalPrice], 32)"
Financial,DURATION / MDURATION,Measure,"Macaulay / modified duration of a security with periodic interest payments, used to measure interest-rate sensitivity","Bond Duration = DURATION(Bond[Settlement], Bond[Maturity], Bond[Coupon], Bond[Yield], 2)"
Financial,EFFECT / NOMINAL,Measure,Convert between nominal annual interest rate and effective annual interest rate given compounding periods,"Effective Rate = EFFECT(Loan[NominalRate], 12)"
Financial,FVSCHEDULE,Measure,Future value of an initial principal after applying a schedule of varying compound interest rates,"Future Value = FVSCHEDULE(Investment[Principal], RateSchedule[Rate])"
Financial,INTRATE,Measure,Interest rate for a fully invested security (e.g. a bond bought at par),"Security Rate = INTRATE(Bond[Settlement], Bond[Maturity], Bond[Investment], Bond[Redemption])"
Financial,ISPMT,Measure,"Interest paid for a specific period of a loan, using simple (straight-line) interest allocation","Period Interest = ISPMT(Rate[Value]/12, Period[Number], Term[Months], -Loan[Principal])"
Financial,ODDFPRICE / ODDFYIELD,Measure,Price / yield of a security that has an odd (short or long) first coupon period,"Odd First Price = ODDFPRICE(Bond[Settlement], Bond[Maturity], Bond[Issue], Bond[FirstCoupon], Bond[Rate], Bond[Yield], Bond[Redemption], 2)"
Financial,ODDLPRICE / ODDLYIELD,Measure,Price / yield of a security that has an odd (short or long) last coupon period,"Odd Last Price = ODDLPRICE(Bond[Settlement], Bond[Maturity], Bond[LastInterest], Bond[Rate], Bond[Yield], Bond[Redemption], 2)"
Financial,PDURATION,Measure,Number of periods required for an investment to reach a specified future value at a given rate,"Periods to Double = PDURATION(Rate[Value], FutureValue[Target], Investment[Principal])"
Financial,PRICE / PRICEDISC / PRICEMAT,Measure,Price per $100 face value of a security that pays periodic interest / is discounted / pays interest at maturity,"Bond Price = PRICE(Bond[Settlement], Bond[Maturity], Bond[Rate], Bond[Yield], Bond[Redemption], 2)"
Financial,RECEIVED,Measure,Amount received at maturity for a fully invested (discounted) security,"Maturity Proceeds = RECEIVED(Bond[Settlement], Bond[Maturity], Bond[Investment], Bond[Discount])"
Financial,RRI,Measure,Equivalent interest rate for the growth of an investment over a given number of periods,"Implied Growth Rate = RRI(Term[Years], Investment[Principal], Investment[FutureValue])"
Financial,SYD,Measure,Sum-of-years-digits depreciation of an asset for a specified period,"SYD Depreciation = SYD(Asset[Cost], Asset[Salvage], Asset[LifeYears], Period[Number])"
Financial,TBILLEQ / TBILLPRICE / TBILLYIELD,Measure,"Bond-equivalent yield, price, and yield calculations specifically for U.S. Treasury bills","T-Bill Price = TBILLPRICE(TBill[Settlement], TBill[Maturity], TBill[Discount])"
Financial,YIELD / YIELDDISC / YIELDMAT,Measure,Annual yield of a security that pays periodic interest / is discounted / pays interest at maturity,"Bond Yield = YIELD(Bond[Settlement], Bond[Maturity], Bond[Rate], Bond[Price], Bond[Redemption], 2)"
Statistical,BETA.DIST / BETA.INV,Measure,"Beta distribution probability / inverse, used for modeling bounded random variables (e.g. proportions, pass rates)","Probability = BETA.DIST(Value[X], Alpha[Value], Beta[Value], TRUE)"
Statistical,CHISQ.DIST / CHISQ.DIST.RT / CHISQ.INV / CHISQ.INV.RT,Measure,"Chi-squared distribution probability and inverse functions, used in goodness-of-fit and independence testing","P-Value = CHISQ.DIST.RT(ChiSquareStat[Value], DegreesFreedom[Value])"
Statistical,EXPON.DIST,Measure,"Exponential distribution probability, used for modeling time between independent events (e.g. time between arrivals)","Probability = EXPON.DIST(Value[X], Lambda[Value], TRUE)"
Statistical,T.DIST / T.DIST.2T / T.DIST.RT / T.INV / T.INV.2T,Measure,"Student's t-distribution probability and inverse functions, used in hypothesis testing with small sample sizes","P-Value = T.DIST.2T(TStat[Value], DegreesFreedom[Value])"
Information,COLUMNSTATISTICS,Table,"Return metadata statistics (min, max, distinct count, etc.) about each column in the model, primarily for diagnostics",#NAME?
Other,EVALUATEANDLOG,Measure/Table,"Debug helper that evaluates an expression and logs the intermediate table/scalar result to the DAX query trace, without changing the returned value",Debug Sales = EVALUATEANDLOG([Total Sales])
Table,SUBSTITUTEWITHINDEX,Table,"Advanced table function that substitutes a table reference by its index, used internally by some calculation-group and what-if patterns",(Rarely written directly — mostly generated by advanced tooling)
